id,t_depart_secs,t_arrival_secs,t_traveltime_secs,origin,destiny,route_detail,route_path_num,is_attended,has_finished
2304,0,241,241,1/11to2/11,11/3to12/3,1/11to2/11:2/11to3/11:3/11to4/11:4/11to5/11:5/11to6/11:6/11to7/11:7/11to8/11:8/11to9/11:9/11to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to10/5:10/5to10/4:10/4to10/3:10/3to11/3:11/3to12/3:,19,False,True
3126,0,161,161,bottom7to7/0,10/9to10/10,bottom7to7/0:7/0to7/1:7/1to7/2:7/2to7/3:7/3to7/4:7/4to7/5:7/5to7/6:7/6to7/7:7/7to8/7:8/7to9/7:9/7to10/7:10/7to10/8:10/8to10/9:10/9to10/10:,14,True,True
74,0,373,373,left15to0/15,15/0tobottom15,left15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0to1/0:1/0to2/0:2/0to3/0:3/0to4/0:4/0to5/0:5/0to6/0:6/0to7/0:7/0to8/0:8/0to9/0:9/0to10/0:10/0to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,True,True
65,0,382,382,left15to0/15,15/0tobottom15,left15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to1/2:1/2to2/2:2/2to3/2:3/2to4/2:4/2to5/2:5/2to6/2:6/2to7/2:7/2to8/2:8/2to9/2:9/2to10/2:10/2to10/1:10/1to11/1:11/1to11/0:11/0to12/0:12/0to13/0:13/0to14/0:14/0to15/0:15/0tobottom15:,32,True,True
690,0,35,35,13/7to14/7,14/6to14/5,13/7to14/7:14/7to14/6:14/6to14/5:,3,True,True
1648,1,120,119,10/7to9/7,7/13to7/14,10/7to9/7:9/7to8/7:8/7to7/7:7/7to7/8:7/8to7/9:7/9to7/10:7/10to7/11:7/11to7/12:7/12to7/13:7/13to7/14:,10,False,True
1950,1,60,59,8/14to7/14,7/11to8/11,8/14to7/14:7/14to7/13:7/13to7/12:7/12to7/11:7/11to8/11:,5,True,True
144,1,512,511,left0to0/0,15/15totop15,left0to0/0:0/0to0/1:0/1to0/2:0/2to0/3:0/3to0/4:0/4to0/5:0/5to0/6:0/6to0/7:0/7to0/8:0/8to0/9:0/9to0/10:0/10to0/11:0/11to0/12:0/12to0/13:0/13to1/13:1/13to2/13:2/13to3/13:3/13to4/13:4/13to5/13:5/13to6/13:6/13to7/13:7/13to8/13:8/13to9/13:9/13to10/13:10/13to10/14:10/14to11/14:11/14to11/15:11/15to12/15:12/15to13/15:13/15to14/15:14/15to15/15:15/15totop15:,32,True,True
1513,2,126,124,8/6to8/5,13/2to14/2,8/6to8/5:8/5to9/5:9/5to10/5:10/5to10/4:10/4to10/3:10/3to10/2:10/2to11/2:11/2to12/2:12/2to13/2:13/2to14/2:,10,False,True
292,2,400,398,right15to15/15,0/0tobottom0,right15to15/15:15/15to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to10/15:10/15to9/15:9/15to8/15:8/15to7/15:7/15to6/15:6/15to5/15:5/15to4/15:4/15to3/15:3/15to2/15:2/15to1/15:1/15to0/15:0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to0/8:0/8to0/7:0/7to0/6:0/6to0/5:0/5to0/4:0/4to0/3:0/3to0/2:0/2to0/1:0/1to0/0:0/0tobottom0:,32,True,True
751,3,148,145,4/8to4/9,10/12to9/12,4/8to4/9:4/9to5/9:5/9to6/9:6/9to7/9:7/9to8/9:8/9to9/9:9/9to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to9/12:,11,False,True
2653,3,54,51,2/1to1/1,0/0to1/0,2/1to1/1:1/1to0/1:0/1to0/0:0/0to1/0:,4,True,True
1455,3,110,107,6/6to6/7,9/11to9/10,6/6to6/7:6/7to6/8:6/8to6/9:6/9to6/10:6/10to6/11:6/11to7/11:7/11to8/11:8/11to9/11:9/11to9/10:,9,True,True
3206,4,66,62,13/3to13/2,10/2to10/1,13/3to13/2:13/2to12/2:12/2to11/2:11/2to10/2:10/2to10/1:,5,True,True
538,4,235,231,11/0to10/0,9/15to9/14,11/0to10/0:10/0to10/1:10/1to9/1:9/1to8/1:8/1to8/2:8/2to8/3:8/3to8/4:8/4to8/5:8/5to8/6:8/6to8/7:8/7to8/8:8/8to8/9:8/9to8/10:8/10to8/11:8/11to8/12:8/12to8/13:8/13to8/14:8/14to8/15:8/15to9/15:9/15to9/14:,20,True,True
771,5,172,167,0/15to0/14,6/9to7/9,0/15to0/14:0/14to0/13:0/13to0/12:0/12to0/11:0/11to0/10:0/10to0/9:0/9to1/9:1/9to2/9:2/9to3/9:3/9to4/9:4/9to5/9:5/9to6/9:6/9to7/9:,13,True,True
2240,5,189,184,12/12to11/12,6/4to6/3,12/12to11/12:11/12to10/12:10/12to9/12:9/12to8/12:8/12to7/12:7/12to6/12:6/12to6/11:6/11to6/10:6/10to6/9:6/9to6/8:6/8to6/7:6/7to6/6:6/6to6/5:6/5to6/4:6/4to6/3:,15,False,True
2894,5,214,209,9/15to8/15,6/1to6/0,9/15to8/15:8/15to7/15:7/15to6/15:6/15to6/14:6/14to6/13:6/13to6/12:6/12to6/11:6/11to6/10:6/10to6/9:6/9to6/8:6/8to6/7:6/7to6/6:6/6to6/5:6/5to6/4:6/4to6/3:6/3to6/2:6/2to6/1:6/1to6/0:,18,True,True
1928,6,123,117,4/9to4/10,10/9to11/9,4/9to4/10:4/10to5/10:5/10to6/10:6/10to7/10:7/10to8/10:8/10to9/10:9/10to10/10:10/10to10/9:10/9to11/9:,9,False,True
941,6,126,120,5/13to4/13,9/12to9/13,5/13to4/13:4/13to4/12:4/12to5/12:5/12to6/12:6/12to7/12:7/12to8/12:8/12to9/12:9/12to9/13:,8,True,True
558,7,179,172,10/15to11/15,11/2to11/1,10/15to11/15:11/15to11/14:11/14to11/13:11/13to11/12:11/12to11/11:11/11to11/10:11/10to11/9:11/9to11/8:11/8to11/7:11/7to11/6:11/6to11/5:11/5to11/4:11/4to11/3:11/3to11/2:11/2to11/1:,15,False,True
2794,7,211,204,8/3to7/3,3/15totop3,8/3to7/3:7/3to6/3:6/3to5/3:5/3to4/3:4/3to3/3:3/3to3/4:3/4to3/5:3/5to3/6:3/6to3/7:3/7to3/8:3/8to3/9:3/9to3/10:3/10to3/11:3/11to3/12:3/12to3/13:3/13to3/14:3/14to3/15:3/15totop3:,18,False,True
2934,7,75,68,4/2to4/3,4/7to5/7,4/2to4/3:4/3to4/4:4/4to4/5:4/5to4/6:4/6to4/7:4/7to5/7:,6,True,True
2446,8,242,234,14/14to14/15,11/0to12/0,14/14to14/15:14/15to13/15:13/15to12/15:12/15to11/15:11/15to11/14:11/14to11/13:11/13to11/12:11/12to11/11:11/11to11/10:11/10to11/9:11/9to11/8:11/8to11/7:11/7to11/6:11/6to11/5:11/5to11/4:11/4to11/3:11/3to11/2:11/2to11/1:11/1to11/0:11/0to12/0:,20,False,True
1710,8,69,61,4/7to4/8,1/8to1/7,4/7to4/8:4/8to3/8:3/8to2/8:2/8to1/8:1/8to1/7:,5,True,True
2576,8,158,150,14/6to13/6,5/8to6/8,14/6to13/6:13/6to12/6:12/6to11/6:11/6to10/6:10/6to9/6:9/6to8/6:8/6to7/6:7/6to6/6:6/6to5/6:5/6to5/7:5/7to5/8:5/8to6/8:,12,True,True
1913,9,263,254,15/0to14/0,9/14to9/13,15/0to14/0:14/0to13/0:13/0to12/0:12/0to11/0:11/0to10/0:10/0to10/1:10/1to10/2:10/2to10/3:10/3to10/4:10/4to10/5:10/5to10/6:10/6to10/7:10/7to10/8:10/8to10/9:10/9to10/10:10/10to10/11:10/11to10/12:10/12to10/13:10/13to10/14:10/14to9/14:9/14to9/13:,21,False,True
3382,9,137,128,7/13to8/13,10/6to9/6,7/13to8/13:8/13to9/13:9/13to10/13:10/13to10/12:10/12to10/11:10/11to10/10:10/10to10/9:10/9to10/8:10/8to10/7:10/7to10/6:10/6to9/6:,11,False,True
1092,9,130,121,5/12to5/13,1/9to0/9,5/12to5/13:5/13to4/13:4/13to3/13:3/13to2/13:2/13to1/13:1/13to1/12:1/12to1/11:1/11to1/10:1/10to1/9:1/9to0/9:,10,False,True
1798,10,75,65,14/10to14/9,11/9to10/9,14/10to14/9:14/9to13/9:13/9to12/9:12/9to11/9:11/9to10/9:,5,False,True
3159,11,290,279,14/10to14/9,2/3to3/3,14/10to14/9:14/9to13/9:13/9to12/9:12/9to11/9:11/9to10/9:10/9to9/9:9/9to8/9:8/9to7/9:7/9to6/9:6/9to5/9:5/9to4/9:4/9to3/9:3/9to2/9:2/9to2/8:2/8to2/7:2/7to2/6:2/6to2/5:2/5to2/4:2/4to2/3:2/3to3/3:,20,False,True
2072,11,216,205,8/4to8/3,12/15to12/14,8/4to8/3:8/3to8/4:8/4to8/5:8/5to8/6:8/6to8/7:8/7to8/8:8/8to8/9:8/9to8/10:8/10to8/11:8/11to8/12:8/12to8/13:8/13to9/13:9/13to10/13:10/13to10/14:10/14to11/14:11/14to11/15:11/15to12/15:12/15to12/14:,18,True,True
2578,11,220,209,14/6to14/7,4/12to4/13,14/6to14/7:14/7to13/7:13/7to12/7:12/7to11/7:11/7to10/7:10/7to9/7:9/7to8/7:8/7to7/7:7/7to6/7:6/7to5/7:5/7to4/7:4/7to4/8:4/8to4/9:4/9to4/10:4/10to4/11:4/11to4/12:4/12to4/13:,17,False,True
